,12,11,10,9,8,7,6,5,4,3,2,1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
12,1,1,1,1,1,1,1,30,3,25,46,1,8,101,99,13,75,1,22,8,3,11,1,3
11,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,2,1,1,2,1,3,1
10,1,1,1,1,1,1,1,7,9,1,80,1,6,15,229,1,35,1,11,11,1,38,1,2
9,1,1,1,1,4,1,1,6,1,85,2,2,3,135,2,25,13,1,18,1,12,1,2,4
8,1,1,1,1,1,1,1,1,6,1,30,1,12,1,169,1,25,1,1,34,1,4,1,1
7,1,1,1,3,2,8,1,73,1,140,162,3,2,498,187,88,81,1,117,3,14,30,1,9
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
5,2,1,4,2,1,45,3,158,67,135,867,5,54,940,1339,4,848,3,177,139,13,68,1,14
4,1,1,1,1,4,1,1,13,1,169,4,31,4,704,1,162,6,1,97,5,17,1,1,4
3,21,5,1,36,1,132,1,305,396,3,3179,2,64,28,3538,8,1249,8,238,289,1,124,1,15
2,34,1,66,2,16,142,1,1117,7,3444,2057,27,14,5792,108,822,1043,1,422,4,116,32,1,26
1,5,1,1,5,1,8,1,26,4,9,87,2,57,19,23,3,27,1,2,1,1,2,1,1
-1,1,1,2,1,3,1,1,9,3,48,3,150,3,396,7,28,3,2,7,1,1,1,1,1
-2,200,6,48,201,2,436,2,1079,424,94,6338,1,300,3899,4905,4,865,2,122,50,2,22,1,2
-3,77,1,214,2,163,313,2,880,6,3700,40,33,11,5492,7,169,186,1,67,1,11,1,1,2
-4,11,1,2,7,1,31,1,14,184,3,662,5,71,9,316,7,24,1,2,8,1,2,1,2
-5,62,1,63,27,53,128,3,821,23,958,1039,5,6,998,226,12,86,1,31,2,2,2,1,1
-6,1,1,1,2,1,1,2,1,1,2,1,8,1,1,2,2,1,1,1,1,1,1,1,1
-7,20,1,23,12,2,117,1,139,69,263,427,2,30,99,99,1,14,1,2,2,3,1,1,1
-8,3,1,5,1,25,1,1,48,1,262,1,8,1,210,1,2,1,1,1,1,1,1,1,1
-9,2,2,1,12,1,11,1,15,7,1,96,1,4,2,37,1,3,1,1,1,1,1,1,1
-10,3,1,20,1,3,16,1,17,2,193,14,2,1,53,2,1,10,1,1,1,1,1,1,1
-11,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
-12,6,1,2,3,3,7,1,14,3,14,12,2,1,6,10,1,2,1,1,1,1,1,1,1
